matern32,,,,SquaredExp,,,,RationalQuad,,,,Matern52,,,,Gamma,,,,Ensemble,,,
Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.
init   , [ 0.37454012  0.95071431]. ,0.180392715040773,1.15219928767802,init   , [ 0.9612079   0.11654669]. ,0.188999438075583,0.594524035177655,init   , [ 0.78747693  0.92423783]. ,0.078169261654495,0.704716144231938,init   , [ 0.37454012  0.95071431]. ,0.180392715040773,1.15219928767802,init   , [ 0.9612079   0.11654669]. ,0.188999438075583,0.594524035177655,init   , [ 0.78747693  0.92423783]. ,0.078169261654495,0.704716144231938
init   , [ 0.73199394  0.59865848]. ,0.237662212156733,1.15219928767802,init   , [ 0.70956772  0.23034416]. ,0.554359559940384,0.594524035177655,init   , [ 0.16313511  0.42787448]. ,0.704716144231938,0.704716144231938,init   , [ 0.73199394  0.59865848]. ,0.237662212156733,1.15219928767802,init   , [ 0.70956772  0.23034416]. ,0.554359559940384,0.594524035177655,init   , [ 0.16313511  0.42787448]. ,0.704716144231938,0.704716144231938
init   , [ 0.15601864  0.15599452]. ,1.15219928767802,1.15219928767802,init   , [ 0.41447673  0.03286273]. ,0.594524035177655,0.594524035177655,init   , [ 0.4332104   0.35447225]. ,0.560689394049956,0.704716144231938,init   , [ 0.15601864  0.15599452]. ,1.15219928767802,1.15219928767802,init   , [ 0.41447673  0.03286273]. ,0.594524035177655,0.594524035177655,init   , [ 0.4332104   0.35447225]. ,0.560689394049956,0.704716144231938
1, [ 0.  0.]. ,0.766420591285,1.15219928768,1, [ 0.14734871  0.89519381]. ,0.271508273272,0.594524035178,1, [ 0.  0.]. ,0.766420591285,0.766420591285,1, [ -1.11022302e-16   0.00000000e+00]. ,0.766420591285,1.15219928768,1, [ 0.0205797   0.54766627]. ,0.441378179687,0.594524035178,1, [ 0.  0.]. ,0.766420591285,0.766420591285
2, [ 0.45241365  0.        ]. ,0.502000060636,1.15219928768,2, [ 0.44046074  0.39567659]. ,0.489049186409,0.594524035178,2, [ 0.  1.]. ,0.270337161488,0.766420591285,2, [ 0.47195339  0.        ]. ,0.472836988895,1.15219928768,2, [ 0.  0.]. ,0.766420591285,0.766420591285,2, [ 0.          0.24586777]. ,0.805732177285,0.805732177285
3, [ 0.03619381  0.37196087]. ,0.704796908996,1.15219928768,3, [ 0.7503597  1.       ]. ,0.0809640959399,0.594524035178,3, [ 0.          0.23278233]. ,0.814529285657,0.814529285657,3, [ 0.05067721  0.38676319]. ,0.697727501295,1.15219928768,3, [ 0.13296761  0.16383733]. ,1.12642435147,1.12642435147,3, [ 0.  1.]. ,0.270337161488,0.805732177285
4, [ 0.22520494  0.20663416]. ,1.21430266571,1.21430266571,4, [ 0.56891277  0.        ]. ,0.361948518867,0.594524035178,4, [ 1.  0.]. ,0.107557552258,0.814529285657,4, [ 0.22232091  0.19276355]. ,1.21234074626,1.21234074626,4, [ 0.19651445  0.23637069]. ,1.20661896706,1.20661896706,4, [ 0.14300246  0.13889441]. ,1.11217522174,1.11217522174
5, [ 0.28148469  0.27823956]. ,1.06818781342,1.21430266571,5, [ 0.  0.]. ,0.766420591285,0.766420591285,5, [ 0.10907347  0.14933033]. ,1.06731011523,1.06731011523,5, [ 0.25385942  0.22754237]. ,1.17974175985,1.21234074626,5, [ 0.1321457   0.25474296]. ,1.11227979098,1.20661896706,5, [ 0.31431056  0.        ]. ,0.736208286077,1.11217522174
6, [ 0.23229934  0.17027339]. ,1.18844627075,1.21430266571,6, [ 1.          0.53451045]. ,0.135548632759,0.766420591285,6, [ 0.29595461  0.        ]. ,0.763651981411,1.06731011523,6, [ 0.23613325  0.15603556]. ,1.1674907622,1.21234074626,6, [ 0.26956057  0.28514851]. ,1.07723733634,1.20661896706,6, [ 0.19349548  0.17554357]. ,1.20309219547,1.20309219547
7, [ 0.20239112  0.20720125]. ,1.21982667583,1.21982667583,7, [  3.86902856e-02  -1.38777878e-17]. ,0.793403268199,0.793403268199,7, [ 0.16308655  0.15559108]. ,1.15977747757,1.15977747757,7, [ 0.20334645  0.21210476]. ,1.21967481427,1.21967481427,7, [ 0.21552654  0.18421413]. ,1.21022993845,1.21022993845,7, [ 0.23902755  0.20256602]. ,1.20268886725,1.20309219547
8, [ 1.  1.]. ,0.0358695923861,1.21982667583,8, [ 0.13325651  0.01755272]. ,0.878779785044,0.878779785044,8, [ 1.  1.]. ,0.0358695923861,1.15977747757,8, [ 1.  1.]. ,0.0358695923861,1.21967481427,8, [ 0.23472601  0.21791235]. ,1.20603362037,1.21022993845,8, [ 0.20045092  0.21774067]. ,1.21813622926,1.21813622926
9, [ 1.  0.]. ,0.107557552258,1.21982667583,9, [ 0.          0.26818806]. ,0.786683881548,0.878779785044,9, [ 0.23294806  0.18974001]. ,1.20366358249,1.20366358249,9, [ 0.98371241  0.23917119]. ,0.252472979216,1.21967481427,9, [ 0.18250645  0.20139097]. ,1.21126978096,1.21126978096,9, [ 0.21353493  0.19504281]. ,1.21660847232,1.21813622926
10, [ 0.20757486  0.19889235]. ,1.21875380529,1.21982667583,10, [ 0.11064495  0.1245254 ]. ,1.03977331432,1.03977331432,10, [ 0.18462854  0.97528977]. ,0.244100544375,1.20366358249,10, [ 0.04195122  0.96848878]. ,0.273068634005,1.21967481427,10, [ 0.20457135  0.13462336]. ,1.14819317862,1.21126978096,10, [ 0.22674203  0.24043502]. ,1.1981609001,1.21813622926
11, [ 0.20879858  0.21119704]. ,1.21977226272,1.21982667583,11, [ 0.16258631  0.16283215]. ,1.16776151885,1.16776151885,11, [ 0.23307229  0.24102926]. ,1.19304277448,1.20366358249,11, [ 0.20136378  0.25862083]. ,1.18183640453,1.21967481427,11, [ 0.26489833  0.18288383]. ,1.15774691475,1.21126978096,11, [ 0.17079538  0.20973252]. ,1.2015799797,1.21813622926
12, [ 0.20750936  0.20692939]. ,1.21997748637,1.21997748637,12, [ 0.98009519  0.95116525]. ,0.0403686045648,1.16776151885,12, [ 0.22989265  0.20045401]. ,1.21027386904,1.21027386904,12, [ 0.82119828  0.00156511]. ,0.213069226987,1.21967481427,12, [ 0.68814015  1.        ]. ,0.0959907368923,1.21126978096,12, [ 0.23294989  0.16562686]. ,1.18269368301,1.21813622926
13, [ 0.19432912  0.2206786 ]. ,1.21550220121,1.21997748637,13, [ 0.88973898  0.57830665]. ,0.19206907522,1.16776151885,13, [ 0.98452795  0.39753514]. ,0.258783883738,1.21027386904,13, [ 0.97898112  0.6034931 ]. ,0.105532922862,1.21967481427,13, [ 0.2079284  0.2105335]. ,1.21988776397,1.21988776397,13, [ 0.21971092  0.21505993]. ,1.21647365049,1.21813622926
